,0
1525,SCRN3
1526,GPR155
1527,D230022J07RIK
1528,WIPF1
1529,CHRNA1
1530,CHRNA1OS
1531,CHN1OS3
1532,CHN1
1533,ATF2
1534,ATP5G3
1535,LNPK
1536,HOXD13
1537,HOXD10
1538,GM28793
1539,HOXD9
1540,HOXD3OS1
1541,HOXD8
1542,HOXD3
1543,HOXD4
1544,MTX2
1545,2600014E21RIK
1546,HNRNPA3
1547,NFE2L2
1548,E030042O20RIK
1549,GM13657
1550,AGPS
1551,TTC30B
1552,TTC30A1
1553,PDE11A
1554,CYCT
1555,RBM45
1556,OSBPL6
1557,PRKRA
1558,PJVK
1559,FKBP7
1560,PLEKHA3
1561,TTN
1562,CCDC141
1563,SESTD1
1564,ZFP385B
1565,CWC22
1566,GM14461
1567,UBE2E3
1568,ITGA4
1569,CERKL
1570,ITPRID2
1571,PDE1A
1572,DNAJC10
1573,GM13752
1574,FRZB
1575,NCKAP1
1576,DUSP19
1577,NUP35
1578,ZC3H15
1579,ITGAV
1580,FAM171B
1581,CALCRL
1582,TFPI
1583,GM13710
1584,CTNND1
1585,SELENOH
1586,TMX2
1587,MED19
1588,ZDHHC5
1589,CLP1
1590,YPEL4
1591,GM19426
1592,SERPING1
1593,UBE2L6
1594,SMTNL1
1595,TIMM10
1596,SLC43A1
1597,SLC43A3
1598,PRG2
1599,P2RX3
1600,SSRP1
1601,TNKS1BP1
1602,APLNR
1603,GM13713
1604,LRRC55
1605,OLFR1033
1606,OLFR1124
1607,OLFR1189
1608,OLFR1192-PS1
1609,OLFR1259
1610,PTPRJ
1611,NUP160
1612,FNBP4
1613,MTCH2
1614,C1QTNF4
1615,NDUFS3
1616,KBTBD4
1617,PTPMT1
1618,CELF1
1619,RAPSN
1620,GM13778
1621,PSMC3
1622,SLC39A13
1623,SPI1
1624,MYBPC3
1625,MADD
1626,NR1H3
1627,ACP2
1628,DDB2
1629,PACSIN3
1630,ARFGAP2
1631,1110051M20RIK
1632,LRP4
1633,CKAP5
1634,ZFP408
1635,ARHGAP1
1636,ATG13
1637,HARBI1
1638,AMBRA1
1639,MDK
1640,DGKZ
1641,CREB3L1
1642,PHF21A
1643,LARGE2
1644,PEX16
1645,1700029I15RIK
1646,MAPK8IP1
1647,CRY2
1648,SLC35C1
1649,GM13814
1650,CHST1
1651,SYT13
1652,PRDM11
1653,4631405J19RIK
1654,TRP53I11
1655,TSPAN18
1656,CD82
1657,ALX4
1658,EXT2
1659,ACCS
1660,ACCSL
1661,GM13889
1662,ALKBH3
1663,HSD17B12
1664,MIR670HG
1665,TTC17
1666,2810002D19RIK
1667,API5
1668,LRRC4C
