,0
1488,A930006I01RIK
1489,CAT
1490,ABTB2
1491,NAT10
1492,CAPRIN1
1493,LMO2
1494,FBXO3
1495,CD59B
1496,CD59A
1497,HIPK3
1498,CSTF3
1499,TCP11L1
1500,DEPDC7
1501,QSER1
1502,CCDC73
1503,EIF3M
1504,RCN1
1505,ELP4
1506,IMMP1L
1507,DNAJC24
1508,ARL14EP
1509,METTL15
1510,KIF18A
1511,LIN7C
1512,LGR4
1513,CCDC34
1514,FIBIN
1515,LPCAT4
1516,NOP10
1517,SLC12A6
1518,EMC4
1519,KATNBL1
1520,EMC7
1521,AVEN
1522,RYR3
1523,FMN1
1524,GREM1
1525,SCG5
1526,ARHGAP11A
1527,AQR
1528,ZFP770
1529,DPH6
1530,BC052040
1531,MEIS2
1532,2700033N17RIK
1533,D330050G23RIK
1534,GM29340
1535,SPRED1
1536,FAM98B
1537,RASGRP1
1538,THBS1
1539,FSIP1
1540,GPR176
1541,EIF2AK4
1542,SRP14
1543,BMF
1544,BUB1B
1545,PAK6
1546,PLCB2
1547,INAFM2
1548,CCDC9B
1549,DISP2
1550,KNSTRN
1551,IVD
1552,BAHD1
1553,CHST14
1554,CCDC32
1555,RPUSD2
1556,KNL1
1557,RAD51
1558,RMDN3
1559,GCHFR
1560,DNAJC17
1561,GM14137
1562,ZFYVE19
1563,SPINT1
1564,VPS18
1565,GM14207
1566,DLL4
1567,CHAC1
1568,INO80
1569,CHP1
1570,OIP5OS1
1571,OIP5
1572,NUSAP1
1573,NDUFAF1
1574,RTF1
1575,ITPKA
1576,LTK
1577,RPAP1
1578,TYRO3
1579,MGA
1580,MAPKBP1
1581,JMJD7
1582,PLA2G4B
1583,SPTBN5
1584,EHD4
1585,PLA2G4F
1586,VPS39
1587,TMEM87A
1588,GANC
1589,CAPN3
1590,ZFP106
1591,SNAP23
1592,LRRC57
1593,HAUS2
1594,STARD9
1595,CDAN1
1596,TTBK2
1597,UBR1
1598,TMEM62
1599,CCNDBP1
1600,LCMT2
1601,ADAL
1602,ZSCAN29
1603,TUBGCP4
1604,TRP53BP1
1605,MAP1A
1606,PPIP5K1
1607,CATSPER2
1608,PDIA3
1609,ELL3
1610,SERF2
1611,HYPK
1612,MFAP1B
1613,MFAP1A
1614,WDR76
1615,FRMD5
1616,CASC4
1617,CTDSPL2
1618,EIF3J1
1619,SPG11
1620,PATL2
1621,B2M
1622,SORD
1623,SHF
1624,SLC28A2
1625,GM14085
1626,GATM
1627,AA467197
1628,SLC30A4
1629,BLOC1S6OS
1630,BLOC1S6
1631,SQOR
1632,SEMA6D
1633,SLC24A5
1634,MYEF2
1635,DUT
1636,FBN1
1637,CEP152
1638,SHC4
1639,EID1
1640,SECISBP2L
1641,COPS2
1642,GALK2
1643,FGF7
1644,DTWD1
1645,ATP8B4
1646,HDC
1647,GABPB1
1648,GM27003
1649,USP8
1650,USP50
1651,TRPM7
1652,SPPL2A
1653,AP4E1
1654,BLVRA
1655,NCAPH
1656,ITPRIPL1
1657,1810024B03RIK
1658,SNRNP200
1659,CIAO1
1660,TMEM127
1661,STARD7
1662,DUSP2
1663,GPAT2
1664,FAHD2A
1665,KCNIP3
1666,PROM2
1667,ZFP661
1668,MRPS5
1669,MALL
1670,NPHP1
