,0
966,ATP5E
967,ATP5F1
968,ATP5G1
969,ATP5G2
970,ATP5G3
971,ATP5H
972,ATP5J
973,ATP5J2
974,ATP5K
975,ATP5K-PS2
976,ATP5L
977,ATP5L-PS1
978,ATP5L2-PS
979,ATP5O
980,ATP5SL
981,ATP6AP1
982,ATP6AP2
983,ATP6V0A2
984,ATP6V0B
985,ATP6V0C
986,ATP6V0D1
987,ATP6V0E
988,ATP6V1A
989,ATP6V1B2
990,ATP6V1C1
991,ATP6V1D
992,ATP6V1E1
993,ATP6V1F
994,ATP6V1G1
995,ATP6V1H
996,ATP7A
997,ATP8A1
998,ATP8B2
999,ATP8B4
1000,ATP9B
1001,ATPAF1
1002,ATPAF2
1003,ATPIF1
1004,ATR
1005,ATRAID
1006,ATRIP
1007,ATRN
1008,ATRX
1009,ATXN1
1010,ATXN10
1011,ATXN1L
1012,ATXN2
1013,ATXN2L
1014,ATXN3
1015,ATXN7
1016,ATXN7L1
1017,ATXN7L3
1018,ATXN7L3B
1019,AU019823
1020,AU020206
1021,AU022252
1022,AU040320
1023,AU041133
1024,AUH
1025,AUNIP
1026,AUP1
1027,AURKA
1028,AURKAIP1
1029,AURKB
1030,AUTS2
1031,AVEN
1032,AVL9
1033,AVPI1
1034,AW011738
1035,AW112010
1036,AW146154
1037,AW209491
1038,AW549877
1039,AW554918
1040,AXIN1
1041,AXIN2
1042,AY036118
1043,AZI2
1044,AZIN1
1045,B130006D01RIK
1046,B230208H11RIK
1047,B230219D22RIK
1048,B230307C23RIK
1049,B230354K17RIK
1050,B2M
1051,B330016D10RIK
1052,B3GALNT2
1053,B3GALT4
1054,B3GALT6
1055,B3GAT3
1056,B3GLCT
1057,B3GNT2
1058,B3GNT5
1059,B4GALNT1
1060,B4GALT1
1061,B4GALT3
1062,B4GALT5
1063,B4GALT7
1064,B4GAT1
1065,B930095G15RIK
1066,B9D2
1067,BABAM1
1068,BABAM2
1069,BACH2
1070,BAD
1071,BAG1
1072,BAG2
1073,BAG3
1074,BAG4
1075,BAG5
1076,BAG6
1077,BAHD1
1078,BAIAP2
1079,BAIAP3
1080,BAK1
1081,BANF1
1082,BANP
1083,BAP1
1084,BARD1
1085,BATF
1086,BAX
1087,BAZ1A
1088,BAZ1B
1089,BAZ2A
1090,BAZ2B
1091,BBC3
1092,BBIP1
1093,BBS9
1094,BBX
1095,BC002059
1096,BC002163
1097,BC003331
1098,BC003965
1099,BC004004
1100,BC005537
1101,BC005561
1102,BC005624
1103,BC017643
1104,BC021614
1105,BC023719
1106,BC025920
1107,BC029214
1108,BC029722
1109,BC030336
1110,BC031181
1111,BC035044
1112,BC037034
1113,BC043934
1114,BC051226
1115,BC052040
1116,BC064078
1117,BC065397
1118,BC085271
1119,BC147527
1120,BCAP29
1121,BCAP31
1122,BCAS2
1123,BCAS3
1124,BCAT1
1125,BCAT2
1126,BCCIP
1127,BCDIN3D
1128,BCKDHA
1129,BCKDHB
1130,BCKDK
1131,BCL10
1132,BCL11B
1133,BCL2
1134,BCL2A1A
1135,BCL2A1B
1136,BCL2A1D
1137,BCL2L1
1138,BCL2L11
1139,BCL2L12
1140,BCL2L13
1141,BCL2L15
1142,BCL3
1143,BCL7A
1144,BCL7B
1145,BCL7C
1146,BCL9L
1147,BCLAF1
1148,BCLAF3
1149,BCOR
1150,BCS1L
1151,BDH1
1152,BDP1
1153,BE692007
1154,BECN1
1155,BEND4
1156,BET1
1157,BET1L
1158,BEX3
1159,BFAR
1160,BHLHB9
1161,BHLHE40
1162,BICD2
1163,BICDL1
1164,BICRA
1165,BICRAL
1166,BID
1167,BIN1
1168,BIN2
1169,BIN3
1170,BIRC2
1171,BIRC3
1172,BIRC5
1173,BIRC6
1174,BLCAP
1175,BLM
1176,BLMH
1177,BLOC1S1
1178,BLOC1S2
1179,BLOC1S3
1180,BLOC1S4
1181,BLOC1S5
1182,BLOC1S6
1183,BLOC1S6OS
1184,BLVRA
1185,BLVRB
1186,BLZF1
1187,BMI1
1188,BMP2K
1189,BMS1
1190,BMT2
1191,BMYC
1192,BNIP1
1193,BNIP2
1194,BNIP3L
1195,BNIP3L-PS
1196,BOD1
1197,BOD1L
1198,BOLA1
1199,BOLA2
1200,BOLA3
1201,BOP1
1202,BORA
1203,BORCS5
1204,BORCS6
1205,BORCS7
1206,BORCS8
1207,BPGM
1208,BPHL
1209,BPNT1
1210,BPTF
1211,BRAF
1212,BRAP
1213,BRAT1
1214,BRCA1
1215,BRCA2
1216,BRCC3
1217,BRD1
1218,BRD2
1219,BRD3
1220,BRD4
1221,BRD7
1222,BRD8
1223,BRD9
1224,BRE
1225,BRF1
1226,BRF2
1227,BRI3
1228,BRI3BP
1229,BRIP1
1230,BRIP1OS
1231,BRIX1
1232,BRK1
1233,BRMS1
1234,BRMS1L
1235,BROX
1236,BRPF1
1237,BRWD1
1238,BRWD3
1239,BSCL2
1240,BSDC1
1241,BSG
1242,BSPRY
1243,BST2
1244,BTAF1
1245,BTBD1
1246,BTBD10
1247,BTBD11
1248,BTBD19
1249,BTBD2
1250,BTBD6
1251,BTBD7
1252,BTBD9
1253,BTD
1254,BTF3
1255,BTF3L4
1256,BTG1
1257,BTG2
1258,BTG3
1259,BTLA
1260,BTRC
1261,BUB1
1262,BUB1B
1263,BUB3
1264,BUD13
1265,BUD23
1266,BUD31
1267,BYSL
1268,BZW1
1269,BZW2
1270,C030034I22RIK
1271,C130026I21RIK
1272,C130036L24RIK
1273,C1D
1274,C1GALT1
1275,C1GALT1C1
1276,C1QBP
1277,C1QTNF4
1278,C1QTNF6
1279,C230085N15RIK
1280,C230096K16RIK
1281,C2CD2L
1282,C2CD3
1283,C2CD5
1284,C330006A16RIK
1285,C330007P06RIK
1286,C330018D20RIK
1287,C330027C09RIK
1288,C730034F03RIK
1289,C730045M19RIK
1290,C87436
1291,C920009B18RIK
1292,CAAA01194877.1
1293,CAAP1
1294,CAB39
1295,CAB39L
1296,CABIN1
1297,CABLES1
1298,CABLES2
1299,CACFD1
1300,CACNA1A
1301,CACNA1S
1302,CACTIN
1303,CACUL1
1304,CACYBP
1305,CAD
1306,CALCOCO1
1307,CALCRL
1308,CALHM2
1309,CALM1
1310,CALM2
1311,CALM3
1312,CALR
1313,CALU
1314,CAMK1D
1315,CAMK2B
1316,CAMK2D
1317,CAMK2G
1318,CAMK2N1
1319,CAMK4
1320,CAMKK2
1321,CAML
1322,CAMSAP1
1323,CAMTA1
1324,CAMTA2
1325,CAND1
1326,CANT1
1327,CANX
1328,CAP1
1329,CAPG
1330,CAPN1
1331,CAPN10
1332,CAPN15
1333,CAPN2
1334,CAPN7
1335,CAPNS1
1336,CAPRIN1
1337,CAPZA1
1338,CAPZA2
1339,CAPZB
1340,CAR2
1341,CAR5B
1342,CARD11
1343,CARD19
1344,CARD6
1345,CARF
1346,CARHSP1
1347,CARKD
1348,CARM1
1349,CARMIL2
1350,CARNMT1
1351,CARS
1352,CARS2
1353,CASC3
1354,CASC4
1355,CASC5
1356,CASD1
1357,CASP1
1358,CASP2
1359,CASP3
1360,CASP4
1361,CASP6
1362,CASP7
1363,CASP8
1364,CASP8AP2
1365,CASP9
1366,CAST
1367,CAT
1368,CBFA2T2
1369,CBFB
1370,CBL
1371,CBLB
1372,CBLL1
1373,CBR1
1374,CBR4
1375,CBWD1
1376,CBX1
1377,CBX3
1378,CBX4
1379,CBX5
1380,CBX6
1381,CBX7
1382,CBX8
1383,CBY1
1384,CC2D1A
1385,CC2D1B
1386,CCAR1
1387,CCAR2
1388,CCDC102A
1389,CCDC107
1390,CCDC112
1391,CCDC115
1392,CCDC117
1393,CCDC12
1394,CCDC124
1395,CCDC125
1396,CCDC127
1397,CCDC130
1398,CCDC134
1399,CCDC137
1400,CCDC138
1401,CCDC163
1402,CCDC166
1403,CCDC167
1404,CCDC174
1405,CCDC181
1406,CCDC186
1407,CCDC191
1408,CCDC22
1409,CCDC25
1410,CCDC28A
1411,CCDC28B
1412,CCDC30
1413,CCDC32
1414,CCDC34
1415,CCDC43
1416,CCDC47
1417,CCDC50
1418,CCDC51
1419,CCDC53
1420,CCDC58
1421,CCDC59
1422,CCDC6
1423,CCDC61
1424,CCDC64
1425,CCDC66
1426,CCDC69
1427,CCDC71
1428,CCDC71L
1429,CCDC77
1430,CCDC82
1431,CCDC84
1432,CCDC85B
1433,CCDC86
1434,CCDC88B
1435,CCDC88C
1436,CCDC9
1437,CCDC90B
1438,CCDC91
1439,CCDC92
1440,CCDC93
1441,CCDC94
1442,CCDC97
1443,CCHCR1
1444,CCL25
1445,CCL27A
1446,CCL3
1447,CCL4
1448,CCL5
1449,CCL6
1450,CCL9
1451,CCM2
1452,CCNA2
1453,CCNB1
1454,CCNB1IP1
1455,CCNB2
1456,CCNC
1457,CCND2
1458,CCND3
1459,CCNDBP1
1460,CCNE1
1461,CCNE2
1462,CCNF
1463,CCNG1
1464,CCNG2
1465,CCNH
1466,CCNI
1467,CCNK
1468,CCNL1
1469,CCNL2
1470,CCNT1
1471,CCNT2
1472,CCNY
1473,CCP110
1474,CCPG1
1475,CCPG1OS
1476,CCR10
1477,CCR2
1478,CCR5
1479,CCR7
1480,CCR9
1481,CCRL2
1482,CCS
1483,CCSAP
1484,CCSER2
1485,CCT2
1486,CCT3
1487,CCT4
1488,CCT5
1489,CCT6A
1490,CCT7
1491,CCT8
1492,CCZ1
1493,CD101
1494,CD151
1495,CD160
1496,CD164
1497,CD1D1
1498,CD2
1499,CD200
1500,CD200R1
1501,CD200R2
1502,CD200R4
1503,CD226
1504,CD244
1505,CD247
1506,CD24A
1507,CD27
1508,CD274
1509,CD28
1510,CD2AP
1511,CD2BP2
1512,CD320
1513,CD37
1514,CD38
1515,CD3D
1516,CD3E
1517,CD3EAP
1518,CD3G
1519,CD44
1520,CD47
1521,CD48
1522,CD5
1523,CD52
1524,CD53
1525,CD55
1526,CD6
1527,CD68
1528,CD69
1529,CD7
1530,CD72
1531,CD74
1532,CD79A
1533,CD79B
1534,CD80
1535,CD82
1536,CD84
1537,CD86
1538,CD8A
1539,CD8B1
1540,CD9
1541,CD96
1542,CD99L2
1543,CDADC1
1544,CDAN1
1545,CDC123
1546,CDC14A
1547,CDC14B
1548,CDC16
1549,CDC20
1550,CDC23
1551,CDC25A
1552,CDC25B
1553,CDC25C
1554,CDC26
1555,CDC27
1556,CDC34
1557,CDC37
1558,CDC37L1
1559,CDC40
1560,CDC42
1561,CDC42EP3
1562,CDC42SE1
1563,CDC42SE2
1564,CDC45
1565,CDC5L
1566,CDC6
1567,CDC7
1568,CDC73
