"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"WDFY1",0.0896527994464128,2.84214757423835,0.368487267864434,0.712771213388717,0.844535184672595,-7.1834083594365
"CAB39L",0.0791324194576592,4.418303997329,0.368201199041925,0.712984268885617,0.844645834407869,-7.18351351492213
"PIGG",0.0501444948389487,0.358099498668499,0.368031264481378,0.713110841717384,0.844645834407869,-7.18357594220832
"YRDC",0.0894923627107039,2.78662922972327,0.367975844168973,0.713152122299892,0.844645834407869,-7.18359629522928
"ZKSCAN5",-0.0538562028333657,0.430922412962257,-0.367595192224742,0.713435678948713,0.844788051306299,-7.18373600629581
"MAPK1IP1L",-0.0332118050932674,5.59033495014364,-0.367557293119761,0.713463913068511,0.844788051306299,-7.18374990853459
"CELF1",0.0582979480146014,4.44989900470252,0.367163913004709,0.713756997138177,0.844934636466057,-7.18389412457592
"GNPDA1",0.102728491853136,4.17623299368835,0.367133767400164,0.713779458582752,0.844934636466057,-7.18390516981125
"LUC7L",0.0501996571918788,6.00381445595117,0.366713908049984,0.714092321061938,0.845191461928399,-7.18405891049672
"SIRT4",-0.0782340422007279,1.08319988239081,-0.365844168468979,0.714740570034315,0.845687257522668,-7.18437682551728
"CENPI",0.0990851640678001,3.06608078538067,0.365816894246731,0.714760901865615,0.845687257522668,-7.18438678283928
"TPD52",-0.105078409358358,4.62914640425674,-0.365681578164879,0.714861777548641,0.845687257522668,-7.18443617330901
"PGBD1",0.0628544793874013,0.584718613827094,0.365406756382914,0.715066667605866,0.845687257522668,-7.18453642727077
"SENP8",0.0623977369883875,0.685890141346764,0.365324735333542,0.715127821406801,0.845687257522668,-7.18456633365263
"TMEM129",0.105448600014109,2.35123326941364,0.365274656277186,0.715165160587196,0.845687257522668,-7.18458459009887
"LMO4",0.0712403129360325,1.22868454273576,0.365122359269756,0.715278718162547,0.845687257522668,-7.1846400949916
"ZFP593",0.0628591232109463,2.11856682048755,0.365122134903845,0.7152788854617,0.845687257522668,-7.18464017674504
"CLK2",0.0829031902095416,1.91525129785572,0.364673801643177,0.715613214025832,0.845894669268184,-7.18480343818714
"FOCAD",-0.0808151137788,2.05108731621831,-0.364412893031652,0.715807802571998,0.845894669268184,-7.18489835632138
"SH2B1",-0.0576937909557841,0.833551916431486,-0.364327801107772,0.715871269089101,0.845894669268184,-7.18492929794905
"D2HGDH",0.064301217856932,0.675596664851521,0.364230745502825,0.715943661225878,0.845894669268184,-7.18496458106779
"PSKH1",-0.0436066498248836,0.3302542565346,-0.364157987696548,0.715997931728174,0.845894669268184,-7.18499102492439
"ZBTB3",-0.0441174148198725,0.335903600966964,-0.364114715929527,0.716030209093459,0.845894669268184,-7.1850067495641
"TMEM87B",-0.0562501025295618,0.685367786654642,-0.363979534277391,0.716131047354233,0.845900404816091,-7.18505586154892
"MPP7",-0.0843462803639986,1.77102768627656,-0.363167602062625,0.716736809874901,0.846502479955441,-7.18535045610005
"ZFP367",-0.0727155996438985,2.06995474544627,-0.363016670396094,0.716849436012694,0.846522052737487,-7.18540514640643
"OSM",0.0660767229586638,0.86831726023454,0.362664745696101,0.717112068423636,0.846578241613474,-7.1855325786025
"DDX42",0.0685679054250158,4.66843475461302,0.362616661031802,0.717147955391135,0.846578241613474,-7.18554998050623
"DNAJB12",-0.0753459309953025,1.4907626264845,-0.362317507564101,0.717371236319795,0.846578241613474,-7.18565819275562
"RCE1",0.0943487205356848,3.08769938199285,0.362315044778528,0.717373074584271,0.846578241613474,-7.1856590832443
"YIPF5",-0.0810286204627931,4.30280145954446,-0.362194837674612,0.717462801183156,0.846578241613474,-7.18570254011861
"APBB1IP",-0.0693181263365813,4.78891564863308,-0.362180667257007,0.717473378714516,0.846578241613474,-7.18570766201171
"ZFP830",0.0830504721481592,2.53054405191722,0.361263044628539,0.718158455456393,0.847273155011672,-7.18603891016269
"XRCC5",0.0940815628863672,2.97454947639947,0.359292870284505,0.719630112978365,0.848702179247874,-7.18674727740858
"TADA1",-0.111056953929796,5.27337920203336,-0.359274262512713,0.719644017381634,0.848702179247874,-7.18675394929883
"COMMD2",-0.0560221632569477,4.38628340270639,-0.359254725419916,0.719658616307655,0.848702179247874,-7.18676095402923
"M6PR",-0.0490732160607555,6.70992903332597,-0.35904265644937,0.719817089648698,0.848775489841313,-7.18683696367796
"ZSCAN22",-0.0814457423087103,1.05109727472493,-0.358721043824033,0.720057445058256,0.848945319504804,-7.18695215033496
"GEMIN7",0.079519859793329,4.70643600873099,0.358304301261706,0.720368936663444,0.849174071206398,-7.18710125469601
"SHC1",0.0775129151718101,1.40651672855789,0.358203647298648,0.720444176830845,0.849174071206398,-7.18713724124024
