	AveExpr	Coef.(Intercept)	Coef.metadata$cell_typeTh17p	t.(Intercept)	t.metadata$cell_typeTh17p	P.value.(Intercept)	P.value.metadata$cell_typeTh17p	F	F.p.value
ZFP451	1.96008803220436	2.26841230460644	-0.643266467601456	13.9100875414551	-2.73090871210511	3.0034381803541e-34	0.00669179769752292	142.454957531864	3.69414536164192e-44
PSD4	4.05447659867939	4.21460718897741	-0.334085404218889	28.704955555848	-1.57530872578113	7.74930191591801e-88	0.116244749304755	733.492183394684	6.45769407242405e-116
SEC23A	2.40579647728553	2.71194092703247	-0.638718636162673	15.7087820088356	-2.56141693683485	6.08473880586769e-41	0.0109160847160817	189.760917526826	6.72318018585129e-54
GEMIN2	4.38065206392486	4.27173783893693	0.227231116881278	25.5884494116214	0.942357263199006	3.1057298557426e-77	0.346772036797345	661.666074625457	2.04042956932025e-110
TRAPPC6B	2.81598148119326	2.71250263792049	0.215891111864049	17.0692902527211	0.940564229979646	4.68476441582219e-46	0.34768896999989	301.979762666384	1.9799759599986e-72
PNN	5.52287118816217	5.4451599092672	0.162131445176557	46.5006369595857	0.958570189029296	9.6360400719173e-139	0.33855130694292	2136.53891948093	1.43456140807944e-177
CTAGE5	3.0489636766949	3.02468874380923	0.050645543430533	21.1725697177911	0.245438403968496	2.1979842058292e-61	0.806285707923268	437.432678369246	1.92790181742671e-89
FBXO33	2.30287128780617	2.25191906522956	0.10630319818142	14.2007926285933	0.464103175147316	2.53887712190595e-35	0.642912211945826	202.619340480762	2.59995053929825e-56
KLHL28	1.59099829102142	1.80853164057583	-0.453846556624302	10.1625993306943	-1.76561552210903	4.96907851742306e-21	0.0784829951472865	78.3103747252339	4.58782167684641e-28
FAM179B	1.6693418187621	1.83418621298627	-0.34391995917274	13.1806898217182	-1.71104131842421	1.40795757445052e-31	0.0881126695875522	139.652054052729	1.56045639388071e-43
PRPF39	5.2320989547517	5.17285030498255	0.123612290885277	49.572549740631	0.820127553336433	4.37455277340069e-146	0.412798000048752	2414.49406154942	5.25394603977611e-185
FKBP3	9.66161335111575	9.43689801750233	0.468830552143111	209.900016176962	7.21950658662329	0	4.35197528933855e-12	44372.2985305935	0
FANCM	1.01059067524142	1.07360533497805	-0.131469433982896	9.90177959985967	-0.839463443966592	3.58303305976811e-20	0.401881308048017	83.7740074060897	1.3301443687352e-29
MIS18BP1	4.00062364494288	4.18898186645523	-0.39297758445023	26.1921573499829	-1.7011357468522	2.50064516773806e-79	0.0899591949275121	602.305185214506	1.72177656911387e-105
EHMT1	3.7783672379606	3.77130592478502	0.0147322361217248	34.8829697696649	0.0943406274343814	2.64908473223138e-107	0.924901891998355	1172.85524090601	4.30363578814217e-142
RPS29	10.4445185383605	10.4476592923172	-0.00655265213989167	299.049265537127	-0.129852182389107	0	0.896770862188533	85825.318773233	0
LRR1	1.76491660156142	1.65597488868909	0.227288465704855	9.806068579822	0.931809164582111	7.35168964438042e-20	0.352188424040678	105.321164701904	2.46668330613736e-35
ARRDC1	2.87493750503876	3.18031953404609	-0.637127974187955	17.0205474882673	-2.36068393190719	7.14712514992065e-46	0.018884266923267	230.114664838271	3.45979728712902e-61
RPL36AL	10.8801935831323	10.7673220844186	0.235487299474572	396.223637775395	5.99941033761404	0	5.7247386845798e-09	153950.259133131	0
MGAT2	2.2877400317912	2.28996636924514	-0.00464487670245312	16.486565112804	-0.0231517417424035	7.29737319983874e-44	0.981544706265648	260.499564084197	3.5145353066976e-66
DNAAF2	3.48104370422682	3.65786793676474	-0.368913866446026	22.1745136557872	-1.54831550305358	4.68614528296476e-65	0.122606216475256	428.822737395045	1.7505096521975e-88
POLE2	3.39239945810924	3.43585985869022	-0.0906727781905305	17.3115128454757	-0.316289594561344	5.74208908924668e-47	0.752003836114983	280.596087912921	2.77276835722869e-69
KLHDC1	0.340510750486745	0.42963760862533	-0.185948121296328	4.8600035966926	-1.45624516386625	1.89997857194815e-06	0.146376181355924	15.3072556537638	4.69343269303559e-07
KLHDC2	1.76275665160011	1.62382069148755	0.289866391601747	10.9327851689625	1.3511358225857	1.27163808953155e-23	0.177675430249324	136.170255815109	9.52929392733834e-43
NEMF	6.70863106976851	6.70531513651418	0.00691813412773221	83.4844576607576	0.0596326096667361	6.11078316106997e-209	0.952488161248665	6699.33756910495	1.12366987997878e-248
